City_ID,City,Lat,Lng,MaxTemp,Humidity,Clouds,Wind,Country,Date
325,Linjiang,41.81,126.91,273.04,44,64,4.6,CN,Sun Mar 31 23:57:16 2019
326,Helsinki,60.17,24.94,275.93,74,0,5.7,FI,Sun Mar 31 23:56:05 2019
327,Santa luzia,-19.77,-43.85,292.15,82,0,2.6,BR,Sun Mar 31 23:00:00 2019
328,Ossora,59.24,163.07,272.89,97,92,5.2,RU,Sun Mar 31 23:57:17 2019
329,Tondano,1.3,124.91,303.15,62,40,3.6,ID,Sun Mar 31 23:30:00 2019
330,Ginir,7.14,40.71,297.54,32,0,1.85,ET,Sun Mar 31 23:57:18 2019
331,Fasa,28.94,53.65,289.15,82,40,2.35,IR,Sun Mar 31 23:00:00 2019
332,Vostochnyy,55.82,37.87,279.15,74,75,7,RU,Sun Mar 31 23:45:59 2019
333,Biloela,-24.4,150.51,300.44,36,0,2.8,AU,Sun Mar 31 23:57:19 2019
334,Marfino,56.07,37.56,278.15,74,75,7,RU,Sun Mar 31 23:45:59 2019
335,Fort morgan,40.25,-103.8,273.71,64,0,2.1,US,Sun Mar 31 23:56:48 2019
336,Ballina,-28.87,153.57,297.15,50,40,6.7,AU,Sun Mar 31 23:53:38 2019
